,player_id,jersey,team,frame_start,frame_end,start_x,start_y,end_x,end_y,max_speed,avg_speed,player,period,time_start,time_end,team_name,attacking_right,wy_player_id,team_id,approx_time_start,approx_time_end,Forward runs,Distance,Runs into box,xGRun,In possession runs,possession_id,Target
0,home_team_player_10,10,home_team,1279,1357,54.19819752929534,81.20168185099097,35.90264668290291,91.6489763494855,25.990283210583055,19.880053462283332,Jack Grealish,1,00:51.160000,00:54.280000,Manchester City,away_team,11051,1625,51160.0,54280.0,False,20.48184097651806,False,0.0,False,1670469650,False
1,home_team_player_10,10,home_team,7216,7250,78.75254971751299,74.94268247421924,84.25178131545341,66.98160983874621,21.529320383784267,19.820070576463355,Jack Grealish,1,04:48.640000,04:50.000000,Manchester City,away_team,11051,1625,288640.0,290000.0,True,7.915024152480497,True,0.061500001698732376,True,1670470679,False
2,home_team_player_10,10,home_team,14178,14250,59.86667371292117,82.59145007292774,71.96935448486911,61.42338991600869,26.396567910552566,20.01453611625152,Jack Grealish,1,09:27.120000,09:30.000000,Manchester City,away_team,11051,1625,567120.0,570000.0,False,19.201142676420243,False,0.0,False,1670469841,False
3,home_team_player_10,10,home_team,14378,14419,68.7756421913343,62.52078495467409,63.91834576885054,73.8835636591318,20.566030177978437,19.832886035690713,Jack Grealish,1,09:35.120000,09:36.760000,Manchester City,away_team,11051,1625,575120.0,576760.0,False,9.258151847658784,False,0.0,False,1670469841,False
4,home_team_player_10,10,home_team,14633,14668,27.75195456061988,65.64316632961228,20.80152375138597,61.31811752743837,20.47187052497448,19.8049336447067,Jack Grealish,1,09:45.320000,09:46.720000,Manchester City,away_team,11051,1625,585320.0,586720.0,False,7.86827711106517,False,0.0,False,1670469841,False
5,home_team_player_10,10,home_team,19040,19107,52.365180833060855,93.00570409382287,44.930857943062165,69.31987022925074,26.372698603611482,19.81094954900864,Jack Grealish,1,12:41.600000,12:44.280000,Manchester City,away_team,11051,1625,761600.0,764280.0,False,17.898304507573673,False,0.0,True,1670470837,False
6,home_team_player_10,10,home_team,27003,27096,60.61368980344802,96.918280582533,82.04385850761415,84.70203380021377,35.70090468405983,24.6374074912448,Jack Grealish,1,18:00.120000,18:03.840000,Manchester City,away_team,11051,1625,1080120.0,1083840.0,True,23.986090082277244,False,0.0,True,1670470897,True
7,home_team_player_10,10,home_team,30838,30903,68.91596779670469,98.81099326614255,80.15582954332531,78.13973658760999,28.32101845149358,19.8908743606613,Jack Grealish,1,20:33.520000,20:36.120000,Manchester City,away_team,11051,1625,1233520.0,1236120.0,False,18.35395575335663,False,0.0,False,1670470180,False
8,home_team_player_10,10,home_team,33306,33342,75.32735217867474,79.44280897024719,70.3385214740111,89.19105960766238,21.78861184937076,19.890023078895368,Jack Grealish,1,22:12.240000,22:13.680000,Manchester City,away_team,11051,1625,1332240.0,1333680.0,False,8.448705452422141,False,0.0,False,-1,False
9,home_team_player_10,10,home_team,42272,42342,59.24920245120979,91.5347431041011,74.2149868647487,96.53979209530043,21.540379429802172,19.803138771911104,Jack Grealish,1,28:10.880000,28:13.680000,Manchester City,away_team,11051,1625,1690880.0,1693680.0,True,16.07841623122466,False,0.06639999896287918,True,1670471161,False
10,home_team_player_10,10,home_team,50637,50662,63.53353585475569,89.9482776504127,64.02950543424242,81.5807931508246,20.9094566609353,19.892877375119735,Jack Grealish,1,33:45.480000,33:46.480000,Manchester City,away_team,11051,1625,2025480.0,2026480.0,True,5.713671449649954,False,0.0,True,1670471831,False
11,home_team_player_10,10,home_team,56477,56526,28.4278496673261,71.87410096660271,17.580201224299458,76.10419800241097,22.623843165600743,19.986413402468784,Jack Grealish,1,37:39.080000,37:41.040000,Manchester City,away_team,11051,1625,2259080.0,2261040.0,False,11.747632087736973,False,0.0,False,1670470592,False
12,home_team_player_10,10,home_team,57602,57650,76.4189757003765,72.82855559494483,81.39749436226336,58.257930048067976,21.612374355528647,19.81981509058283,Jack Grealish,1,38:24.080000,38:26.000000,Manchester City,away_team,11051,1625,2304080.0,2306000.0,False,11.202461504657887,False,0.0,False,1670470592,False
13,home_team_player_10,10,home_team,59761,59793,73.22745862973663,75.5385979341858,67.17156849292672,70.3741059561684,20.764028695228532,19.80286255032743,Jack Grealish,1,39:50.440000,39:51.720000,Manchester City,away_team,11051,1625,2390440.0,2391720.0,False,7.264020425563016,False,0.0,True,1670471386,False
14,home_team_player_10,10,home_team,60765,60832,67.61966819321438,74.63437966644713,53.306417098179544,86.60130295159394,24.721854091906927,19.826423493567923,Jack Grealish,1,40:30.600000,40:33.280000,Manchester City,away_team,11051,1625,2430600.0,2433280.0,False,17.090561115408786,False,0.0,False,1670470750,False
15,home_team_player_10,10,home_team,61959,62000,79.67762083758805,80.1575116786149,85.50120408070171,63.740917679617226,35.53917545963121,19.939738987505354,Jack Grealish,1,41:18.360000,41:20.000000,Manchester City,away_team,11051,1625,2478360.0,2480000.0,True,12.72828453234011,True,0.0,True,1670471408,False
16,home_team_player_10,10,home_team,6324,6366,52.59763606830692,63.239003432821626,61.36780824160076,68.96264634653986,22.327206562217818,19.883191195461944,Jack Grealish,2,04:12.960000,04:14.640000,Manchester City,home_team,11051,1625,252960.0,254640.0,False,9.99740298924824,False,0.0,False,1670471027,False
17,home_team_player_10,10,home_team,10147,10227,62.562615595084516,70.67011785332696,42.813068697656114,62.35506757172857,27.086023912594108,19.86412523519094,Jack Grealish,2,06:45.880000,06:49.080000,Manchester City,home_team,11051,1625,405880.0,409080.0,False,21.494058218910403,False,0.0,False,1670471092,False
